word	tag
Negeri	ORGANIZATION
Jakarta	ORGANIZATION
Pusat	ORGANIZATION
Firman	PERSON
KPU	ORGANIZATION
Prabowo	PERSON
Hatta	PERSON
Prabowo	PERSON
Hatta	PERSON
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
dan	ORGANIZATION
Dewan	ORGANIZATION
Kehormatan	ORGANIZATION
Penyelenggara	ORGANIZATION
Pemilu	ORGANIZATION
Firman	PERSON
Sabtu	TIME
Agustus	TIME
2014	TIME
Firman	PERSON
Firman	PERSON
Firman	PERSON
Prabowo	PERSON
Hatta	PERSON
PN	ORGANIZATION
Jakarta	ORGANIZATION
Pusat	ORGANIZATION
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
Dewan	ORGANIZATION
Kehormatan	ORGANIZATION
Penyelenggara	ORGANIZATION
Pemilu	ORGANIZATION
Firman	PERSON
Firman	PERSON
PN	ORGANIZATION
Jakarta	ORGANIZATION
Pusat	ORGANIZATION
Firman	PERSON
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
Firman	PERSON
Agustus	TIME
2014	TIME
KPU	ORGANIZATION
Joko	PERSON
Widodo	PERSON
Jusuf	PERSON
Kalla	PERSON
DKI	ORGANIZATION
Jakarta	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Ruhut	PERSON
Sitompul	PERSON
Joko	PERSON
Widodo	PERSON
Jokowi	PERSON
2014	TIME
2019	TIME
Jokowi	PERSON
Ruhut	PERSON
Tribunnews	ORGANIZATION
Minggu	TIME
2013	TIME
Ruhut	PERSON
Indonesia	LOCATION
Ruhut	PERSON
Jokowi	PERSON
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
Ruhut	PERSON
Jokowi	PERSON
tahun	TIME
2014	TIME
KH	PERSON
Abdurrahman	PERSON
Wahid	PERSON
Gus	PERSON
Dur	PERSON
Pilpres	EVENT
2009	TIME
Gus	PERSON
Dur	PERSON
Jakarta	LOCATION
Selasa	TIME
Komisi	ORGANIZATION
Pemilihan	ORGANIZATION
Umum	ORGANIZATION
KPU	ORGANIZATION
tempat	LOCATION
pemungutan	LOCATION
suara	LOCATION
TPS	LOCATION
PKB	ORGANIZATION
Indonesia	LOCATION
Gus	PERSON
Dur	PERSON
PKB	ORGANIZATION
Muhaimin	PERSON
Iskandar	PERSON
pengadilan	LOCATION
Gus	PERSON
Dur	PERSON
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
pilpres	EVENT
Ketua	PERSON
Umum	PERSON
Partai	PERSON
Golkar	PERSON
Aburizal	PERSON
Bakrie	PERSON
Ketua	PERSON
Umum	PERSON
Partai	PERSON
NasDem	PERSON
Surya	PERSON
Paloh	PERSON
Wasekjen	PERSON
Golkar	PERSON
Tantowi	PERSON
Yahya	PERSON
Tantowi	PERSON
Gedung	LOCATION
DPR	LOCATION
Jakarta	LOCATION
Kamis	TIME
2013	TIME
Surya	PERSON
Paloh	PERSON
Ical	PERSON
Tantowi	PERSON
Aburizal	PERSON
Bakrie	PERSON
Suryo	PERSON
Palih	PERSON
Anggota	PERSON
Komisi	PERSON
I	PERSON
DPR	PERSON
Aburizal	PERSON
Bakrie	PERSON
Golkar	ORGANIZATION
Partai	ORGANIZATION
Golongan	ORGANIZATION
Karya	ORGANIZATION
Dewan	ORGANIZATION
Perwakilan	ORGANIZATION
Rakyat	ORGANIZATION
Dewan	ORGANIZATION
Pembina	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Ahmad	PERSON
Mubarok	PERSON
Partai	ORGANIZATION
Beringin	ORGANIZATION
Tempo	ORGANIZATION
Senin	TIME
April	TIME
2012	TIME
Golkar	ORGANIZATION
Golkar	ORGANIZATION
Golkar	ORGANIZATION
Golkar	ORGANIZATION
Fraksi	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
PKS	ORGANIZATION
Mubarok	PERSON
Golkar	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Golkar	ORGANIZATION
Demokrat	ORGANIZATION
PKS	ORGANIZATION
Mubarok	PERSON
Ketua	PERSON
Umum	PERSON
Partai	PERSON
Golkar	PERSON
Aburizal	PERSON
Bakrie	PERSON
Presiden	PERSON
SBY	PERSON
Universitas	ORGANIZATION
Negeri	ORGANIZATION
Jakarta	ORGANIZATION
UNJ	ORGANIZATION
Ubedillah	PERSON
Badrun	PERSON
PPP	ORGANIZATION
Ubedillah	PERSON
Rabu	TIME
2014	TIME
Yasonna	PERSON
H	PERSON
Laoly	PERSON
PPP	ORGANIZATION
Yasonna	PERSON
Golkar	ORGANIZATION
Kemayoran	LOCATION
Jakarta	LOCATION
Pusat	LOCATION
Selasa	TIME
malam	TIME
PDIP	ORGANIZATION
PPP	ORGANIZATION
Romahurmuziy	PERSON
Jokowi	PERSON
PPP	ORGANIZATION
Didik	PERSON
Mukriyanto	PERSON
DPR	ORGANIZATION
RI	ORGANIZATION
Didik	PERSON
Gedung	LOCATION
DPR	LOCATION
RI	LOCATION
Jakarta	LOCATION
Rabu	TIME
Didik	PERSON
Didik	PERSON
Partai	ORGANIZATION
Demokrasi	ORGANIZATION
Indonesia	ORGANIZATION
Perjuangan	ORGANIZATION
PDIP	ORGANIZATION
Joko	PERSON
Widodo	PERSON
Ketua	PERSON
Umum	PERSON
Gerindra	PERSON
Prabowo	PERSON
Subianto	PERSON
Istana	LOCATION
Bogor	LOCATION
Wakil	PERSON
Sekretaris	PERSON
Jenderal	PERSON
PDIP	PERSON
Ahmad	PERSON
Basarah	PERSON
Kamis	TIME
2015	TIME
Basarah	PERSON
Gerindra	ORGANIZATION
Budi	PERSON
Gunawan	PERSON
Basarah	PERSON
Komisi	ORGANIZATION
III	ORGANIZATION
DPR	ORGANIZATION
RI	ORGANIZATION
Gerindra	ORGANIZATION
Budi	PERSON
Gunawan	PERSON
Jokowi	PERSON
Budi	PERSON
Gunawan	PERSON
Gerindra	ORGANIZATION
KMP	ORGANIZATION
Jokowi	PERSON
Basarah	PERSON
Basarah	PERSON
Dewan	ORGANIZATION
Pimpinan	ORGANIZATION
Daerah	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Bali	LOCATION
KLB	EVENT
Maret	TIME
DPD	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Bali	ORGANIZATION
I	PERSON
Made	PERSON
Mudharta	PERSON
Made	PERSON
Partai	ORGANIZATION
Demokrat	ORGANIZATION
DPD	ORGANIZATION
Made	PERSON
Made	PERSON
Demokrat	ORGANIZATION
Made	PERSON
Dewan	ORGANIZATION
Pimpinan	ORGANIZATION
Pusat	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Bali	LOCATION
Denpasar	LOCATION
Made	PERSON
Made	PERSON
Bali	LOCATION
Bali	LOCATION
Made	PERSON
PDIP	ORGANIZATION
Ganjar	PERSON
Pranowo	PERSON
BPK	ORGANIZATION
Bank	ORGANIZATION
Century	ORGANIZATION
Ganjar	PERSON
Tempo	ORGANIZATION
Sabtu	TIME
malam	TIME
BPK	ORGANIZATION
Bank	ORGANIZATION
Century	ORGANIZATION
Ganjar	PERSON
Ganjar	PERSON
Akbar	PERSON
Tandjung	PERSON
Aburizal	PERSON
Bakrie	PERSON
Akbar	PERSON
Hotel	LOCATION
JS	LOCATION
Luwansa	LOCATION
Jakarta	LOCATION
Jumat	TIME
2013	TIME
Akbar	PERSON
Akbar	PERSON
Jumat	TIME
Hary	PERSON
Tanoesoedibyo	PERSON
Dewan	ORGANIZATION
Pimpinan	ORGANIZATION
Pusat	ORGANIZATION
Partai	ORGANIZATION
Nasional	ORGANIZATION
Demokrat	ORGANIZATION
DPD	ORGANIZATION
Partai	ORGANIZATION
NasDem	ORGANIZATION
Kabupaten	ORGANIZATION
Sumenep	ORGANIZATION
Jawa	LOCATION
Timur	LOCATION
DPD	ORGANIZATION
Nasdem	ORGANIZATION
Sumenep	LOCATION
Sufyan	PERSON
Absi	PERSON
Senin	TIME
Januari	TIME
2013	TIME
Sufyan	PERSON
Harry	PERSON
Tanoe	PERSON
partai	ORGANIZATION
NasDem	ORGANIZATION
partai	ORGANIZATION
NasDem	ORGANIZATION
2014	TIME
Harry	PERSON
Tanoe	PERSON
DPD	ORGANIZATION
NasDem	ORGANIZATION
Harry	PERSON
Tanoe	PERSON
partai	PERSON
NasDem	PERSON
Sufyan	PERSON
Sufyan	PERSON
DPP	ORGANIZATION
Partai	ORGANIZATION
NasDem	ORGANIZATION
2024	TIME
Jawa	LOCATION
Timur	LOCATION
Kabupaten	LOCATION
Sumenep	LOCATION
Harimurti	PERSON
2023	TIME
Fraksi	ORGANIZATION
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
Yogyakarta	LOCATION
20/2/2023	TIME
17/05/2023	TIME
Yogyakarta	LOCATION
F	ORGANIZATION
PDIP	ORGANIZATION
Fraksi	ORGANIZATION
PDIP	ORGANIZATION
Tjahjo	PERSON
Kumolo	PERSON
Tribunnews.com	ORGANIZATION
Jakarta	LOCATION
Sabtu	TIME
2010	TIME
Tjahjo	PERSON
Yogyakarta	LOCATION
Sultan	PERSON
Hamengku	PERSON
Buwono	PERSON
X	PERSON
Yogyakarta	LOCATION
Tjahjo	PERSON
Politikus	PERSON
Demokrat	ORGANIZATION
Ruhut	PERSON
Sitompul	PERSON
Jokowi	PERSON
Jusuf	PERSON
Kalla	PERSON
AHY	PERSON
Ruhut	PERSON
Tempo	ORGANIZATION
Senin	TIME
Juni	TIME
2014	TIME
Pengawas	ORGANIZATION
Ruhut	PERSON
Pemilu	ORGANIZATION
Jokowi	PERSON
JK	PERSON
Ruhut	PERSON
Sitompul	PERSON
Jokowi	PERSON
Jokowi	PERSON
DKI	LOCATION
Jakarta	LOCATION
Ruhut	PERSON
Ibu	LOCATION
Kota	LOCATION
Jokowi	PERSON
Verrel	PERSON
tukang	PERSON
mebel	PERSON
Bramasta	PERSON
Ruhut	PERSON
Jokowi	PERSON
Ruhut	PERSON
Jokowi	PERSON
Sulawesi	LOCATION
Utara	LOCATION
Sulawesi	LOCATION
Selatan	LOCATION
Medan	LOCATION
Pekanbaru	LOCATION
Ruhut	PERSON
Persatuan	ORGANIZATION
Pembangunan	ORGANIZATION
PPP	ORGANIZATION
PPP	ORGANIZATION
Romahurmuziy	PERSON
Jokowi	PERSON
Jalan	LOCATION
Taman	LOCATION
Surapati	LOCATION
Menteng	LOCATION
Jakarta	LOCATION
Pusat	LOCATION
Sabtu	TIME
2014	TIME
Romahurmuziy	PERSON
Suharso	PERSON
Monoarfa	PERSON
Dewan	ORGANIZATION
Pimpinan	ORGANIZATION
Pusat	ORGANIZATION
PPP	ORGANIZATION
DKI	LOCATION
Jakarta	LOCATION
PPP	ORGANIZATION
Surabaya	LOCATION
Jumat	TIME
PPP	ORGANIZATION
2014	TIME
2019	TIME
Romahurmuziy	PERSON
Romahurmuziy	PERSON
PPP	ORGANIZATION
Angel	PERSON
Lelga	PERSON
Partai	ORGANIZATION
Persatuan	ORGANIZATION
Pembangunan	ORGANIZATION
Rhoma	PERSON
Irama	PERSON
Jawa	LOCATION
Tengah	LOCATION
PPP	ORGANIZATION
Badan	ORGANIZATION
Pemenangan	ORGANIZATION
Pemilu	ORGANIZATION
PPP	ORGANIZATION
Fernita	PERSON
Darwis	PERSON
PPP	ORGANIZATION
Angel	PERSON
Lelga	PERSON
Kabupaten	LOCATION
Boyolali	LOCATION
Kabupaten	LOCATION
Klaten	LOCATION
Kabupaten	LOCATION
Sukoharjo	LOCATION
Kota	LOCATION
Surakarta	LOCATION
Fernita	PERSON
PPP	ORGANIZATION
Kantor	LOCATION
Komisi	LOCATION
Pemilihan	LOCATION
Umum	LOCATION
KPU	LOCATION
Menteng	LOCATION
Jakarta	LOCATION
Pusat	LOCATION
Rabu	TIME
2013	TIME
Angel	PERSON
Lelga	PERSON
PPP	ORGANIZATION
PPP	ORGANIZATION
Mat	PERSON
Solar	PERSON
Syarif	PERSON
Kasim	PERSON
Rahman	PERSON
Yakub	PERSON
Ratih	PERSON
Sanggarwati	PERSON
Okky	PERSON
Asokawati	PERSON
Fernita	PERSON
PPP	ORGANIZATION
Angel	PERSON
Lelga	PERSON
Fernita	PERSON
Fernita	PERSON
Angel	PERSON
Fernita	PERSON
Angel	PERSON
Soesilo	PERSON
Bambang	PERSON
Yudhoyono	PERSON
istana	LOCATION
negara	LOCATION
Selasa	TIME
Yudhoyono	PERSON
Yudhoyono	PERSON
Golkar	ORGANIZATION
PKS	ORGANIZATION
PAN	ORGANIZATION
PPP	ORGANIZATION
PKB	ORGANIZATION
Demokrat	ORGANIZATION
2009	TIME
2014	TIME
Fraksi	ORGANIZATION
PKB	ORGANIZATION
Marwan	PERSON
Jafar	PERSON
DPR	ORGANIZATION
TNI	ORGANIZATION
Tentara	ORGANIZATION
Nasional	ORGANIZATION
Indonesia	ORGANIZATION
Marwan	PERSON
Gedung	LOCATION
DPR	LOCATION
Jakarta	LOCATION
Selasa	TIME
2013	TIME
Marwan	PERSON
Marwan	PERSON
KPU	ORGANIZATION
PKB	ORGANIZATION
Partai	ORGANIZATION
Golkar	ORGANIZATION
Agung	PERSON
Laksono	PERSON
Partai	ORGANIZATION
Demokrat	ORGANIZATION
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
Agung	PERSON
Senin	TIME
Gedung	LOCATION
DPR	LOCATION
Jakarta	LOCATION
Agung	PERSON
Golkar	ORGANIZATION
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
DPR	ORGANIZATION
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
Mahfud	PERSON
Md	PERSON
Partai	ORGANIZATION
Kebangkitan	ORGANIZATION
Bangsa	ORGANIZATION
PKB	ORGANIZATION
Muhamin	PERSON
Iskandar	PERSON
Wisma	LOCATION
Haji	LOCATION
Kota	LOCATION
Madiun	LOCATION
Jawa	LOCATION
Timur	LOCATION
Senin	TIME
Februari	TIME
2014	TIME
PKB	ORGANIZATION
Mahfud	PERSON
Md	PERSON
Jusuf	PERSON
Kalla	PERSON
Rhoma	PERSON
Irama	PERSON
Mahfud	PERSON
PKB	ORGANIZATION
Mahfud	PERSON
PKB	ORGANIZATION
Mahfud	PERSON
PKB	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Mahfud	PERSON
Muhaimin	PERSON
Iskandar	PERSON
Mahfud	PERSON
Md	PERSON
pendapa	LOCATION
Pemerintah	LOCATION
Kabupaten	LOCATION
Madiun	LOCATION
Bupati	PERSON
Muhtarom	PERSON
Mahfud	PERSON
kampus	LOCATION
Institut	LOCATION
Agama	LOCATION
Islam	LOCATION
Sunan	LOCATION
Giri	LOCATION
Ponorogo	LOCATION
DPD	ORGANIZATION
RI	ORGANIZATION
Djan	PERSON
Faridz	PERSON
Presiden	PERSON
SBY	PERSON
Suharso	PERSON
Monoarfa	PERSON
Djan	PERSON
Faridz	PERSON
DKI	LOCATION
Jakarta	LOCATION
Djan	PERSON
Faridz	PERSON
DKI	LOCATION
kantor	LOCATION
Presiden	LOCATION
Jakarta	LOCATION
Senin	TIME
2011	TIME
Djan	PERSON
Farid	PERSON
Sudi	PERSON
Silalahi	PERSON
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
TB	PERSON
Hasanuddin	PERSON
PDIP	ORGANIZATION
Joko	PERSON
Widodo	PERSON
Polri	ORGANIZATION
Jokowi	PERSON
Budi	PERSON
Gunawan	PERSON
DPR	ORGANIZATION
Jokowi	PERSON
Badrodin	PERSON
Haiti	PERSON
PDI	ORGANIZATION
Perjuangan	ORGANIZATION
Megawati	PERSON
Soekarnoputri	PERSON
Jokowi	PERSON
PDIP	ORGANIZATION
Budi	PERSON
Gunawan	PERSON
Budi	PERSON
KPK	PERSON
Pengadilan	ORGANIZATION
Negeri	ORGANIZATION
Jakarta	ORGANIZATION
Selatan	ORGANIZATION
Budi	PERSON
PDIP	ORGANIZATION
Ahmad	PERSON
Basarah	PERSON
PDIP	ORGANIZATION
Jokowi	PERSON
PDIP	ORGANIZATION
Jokowi	PERSON
Ahmad	PERSON
Basarah	PERSON
Rabu	TIME
2015	TIME
Basarah	PERSON
Budi	PERSON
DPR	ORGANIZATION
Badrodin	PERSON
Haiti	PERSON
Jokowi	PERSON
Budi	PERSON
Gunawan	PERSON
Partai	ORGANIZATION
Amanat	ORGANIZATION
Nasional	ORGANIZATION
PAN	ORGANIZATION
Sulawesi	LOCATION
Selatan	LOCATION
PAN	ORGANIZATION
Zulkifli	PERSON
Hasan	PERSON
Ashabul	PERSON
Kahfi	PERSON
PAN	ORGANIZATION
Sulawesi	LOCATION
Selatan	LOCATION
Zulkifli	PERSON
Hasan	PERSON
PAN	ORGANIZATION
Rumah	LOCATION
Makan	LOCATION
Sariwangi	LOCATION
Makassar	LOCATION
Selasa	TIME
Desember	TIME
2014	TIME
Zulkifli	PERSON
Hasan	PERSON
PAN	ORGANIZATION
Sulawesi	LOCATION
Selatan	LOCATION
Zulkifli	PERSON
Fraksi	ORGANIZATION
PAN	ORGANIZATION
DPR	ORGANIZATION
Andi	PERSON
Taufan	PERSON
Tiro	PERSON
Indira	PERSON
Chunda	PERSON
Thita	PERSON
Yandri	PERSON
Susanto	PERSON
PAN	ORGANIZATION
Zulkifli	PERSON
PAN	ORGANIZATION
se	LOCATION
Sulawesi	LOCATION
Selatan	LOCATION
Zulkifli	PERSON
Zulkifli	PERSON
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Anas	PERSON
Urbaningrum	PERSON
Adnan	PERSON
Buyung	PERSON
Nasution	PERSON
Adnan	PERSON
Majelis	ORGANIZATION
Hakim	ORGANIZATION
Pengadilan	ORGANIZATION
Tindak	ORGANIZATION
Pidana	ORGANIZATION
Korupsi	ORGANIZATION
Jakarta	LOCATION
Neneng	PERSON
Sri	PERSON
Wahyuni	PERSON
Yulianis	PERSON
Oktarina	PERSON
Putri	PERSON
Neneng	PERSON
Yulianis	PERSON
Oktarina	PERSON
Haswandi	PERSON
Haswandi	PERSON
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Partai	ORGANIZATION
Keadilan	ORGANIZATION
Sejahtera	ORGANIZATION
Demokrat	ORGANIZATION
Partai	ORGANIZATION
Demokrat	ORGANIZATION
Sutan	PERSON
Bhatoegana	PERSON
Jakarta	LOCATION
Sabtu	TIME
2011	TIME
Sutan	PERSON
PKS	ORGANIZATION
Susilo	PERSON
Bambang	PERSON
Yudhoyono	PERSON
PKS	ORGANIZATION
Sutan	PERSON
PKS	ORGANIZATION
Partai	ORGANIZATION
Persatuan	ORGANIZATION
Pembangunan	ORGANIZATION
PPP	ORGANIZATION
Suryadharma	PERSON
Ali	PERSON
PPP	ORGANIZATION
DPP	ORGANIZATION
PPP	ORGANIZATION
Hotel	LOCATION
Preanger	LOCATION
Kota	LOCATION
Bandung	LOCATION
Jawa	LOCATION
Barat	LOCATION
Jumat	TIME
2014	TIME
Suryadharma	PERSON
Ali	PERSON
PPP	ORGANIZATION
PPP	ORGANIZATION
2014	TIME
Mahkamah	ORGANIZATION
Konstitusi	ORGANIZATION
MK	ORGANIZATION
Mahfud	PERSON
MD	PERSON
Partai	ORGANIZATION
Golkar	ORGANIZATION
Jusuf	PERSON
Kalla	PERSON
Sabuga	LOCATION
kota	LOCATION
Bandung	LOCATION
Marwan	PERSON
Ja'far	PERSON
